Genes	lib1	lib2	lib3	lib4	lib5	lib6	lib7	lib8	lib9	lib10
gene1	0.8671	0.6023	0.4332	0.3445	0.0534	0.3186	0.3033	0.7718	0.9689	0.1006
gene2	0.9540	0.8781	0.5617	0.1462	0.7232	0.0958	0.5243	0.0183	0.1223	0.0984
gene3	0.1446	0.3223	0.8014	0.9742	0.3674	0.9110	0.6407	0.0861	0.5233	0.1280
gene4	0.0481	0.2221	0.2148	0.5715	0.4319	0.2191	0.4855	0.2824	0.4801	0.6842
gene5	0.1980	0.1593	0.8750	0.6475	0.5775	0.5747	0.3781	0.7639	0.0554	0.3823
gene6	0.5772	0.6928	0.5684	0.4114	0.2883	0.7193	0.7892	0.8787	0.6686	0.3149
gene7	0.3681	0.4518	0.9150	0.6873	0.7899	0.6662	0.0570	0.0646	0.2061	0.5179
gene8	0.0886	0.5884	0.6518	0.3605	0.6667	0.4276	0.8451	0.0153	0.7501	0.8200
gene9	0.1118	0.9601	0.4192	0.5364	0.4670	0.2800	0.7448	0.0463	0.5174	0.1646
gene10	0.8211	0.7664	0.1535	0.8498	0.2918	0.7230	0.5038	0.7422	0.1987	0.8109
gene11	0.8482	0.1559	0.6952	0.6236	0.0004	0.4954	0.4143	0.0548	0.5685	0.8669
gene12	0.9551	0.5241	0.7812	0.0379	0.1378	0.0287	0.8130	0.3251	0.9100	0.9247
gene13	0.9420	0.4534	0.1929	0.1382	0.4806	0.0649	0.8665	0.1630	0.4012	0.7074
gene14	0.4066	0.7559	0.8589	0.8385	0.6763	0.5207	0.9523	0.7443	0.7224	0.1256
gene15	0.5880	0.2167	0.0345	0.9988	0.3776	0.9598	0.4235	0.1648	0.2616	0.3128
gene16	0.1946	0.1168	0.9461	0.4401	0.9970	0.4147	0.5127	0.1519	0.4538	0.9628
gene17	0.0248	0.0011	0.5316	0.7876	0.2432	0.9167	0.5785	0.8407	0.0044	0.6506
gene18	0.2596	0.7294	0.3392	0.1489	0.3608	0.0128	0.0089	0.3886	0.8870	0.9427
gene19	0.3309	0.3840	0.4876	0.6155	0.1135	0.3075	0.7952	0.4734	0.2551	0.5554
gene20	0.9633	0.1627	0.5695	0.7005	0.6915	0.8692	0.0317	0.0605	0.5258	0.3640
gene21	0.5346	0.7013	0.3383	0.9766	0.6497	0.9458	0.6397	0.0579	0.4254	0.4728
gene22	0.9559	0.5714	0.0367	0.8035	0.3370	0.3106	0.5210	0.5817	0.6410	0.5527
gene23	0.0238	0.4372	0.2209	0.6931	0.6467	0.4193	0.8888	0.5747	0.2494	0.4387
gene24	0.4007	0.4942	0.4081	0.8613	0.9088	0.6761	0.3835	0.8717	0.1779	0.1055
gene25	0.1454	0.3283	0.8162	0.6605	0.2371	0.7048	0.7662	0.5374	0.1569	0.2372
gene26	0.1930	0.7790	0.9703	0.3586	0.8737	0.1581	0.8151	0.2885	0.0518	0.1884
gene27	0.6756	0.6739	0.5821	0.1326	0.6908	0.0189	0.1118	0.9505	0.2556	0.9534
gene28	0.5075	0.4384	0.2465	0.8675	0.3893	0.0908	0.3314	0.7763	0.8278	0.0560
gene29	0.3058	0.8215	0.5203	0.7359	0.4145	0.2334	0.1451	0.2784	0.2814	0.4184
gene30	0.0317	0.4269	0.0535	0.9376	0.9436	0.5715	0.7705	0.2909	0.0933	0.8714
gene31	0.3498	0.6621	0.3593	0.1650	0.6129	0.0812	0.9478	0.6254	0.2796	0.4995
gene32	0.6993	0.7934	0.5104	0.0865	0.6715	0.3046	0.9513	0.5413	0.1405	0.9135
gene33	0.0572	0.3130	0.2283	0.8664	0.8712	0.8622	0.2349	0.3591	0.5015	0.5478
gene34	0.4801	0.8361	0.1981	0.1363	0.0335	0.7838	0.7939	0.6533	0.6920	0.0421
gene35	0.9346	0.5988	0.1394	0.7671	0.6159	0.5774	0.5070	0.8314	0.3422	0.8785
gene36	0.3101	0.6828	0.0050	0.3370	0.4574	0.2895	0.7690	0.1350	0.8520	0.7884
gene37	0.6820	0.3886	0.8672	0.1814	0.2125	0.9624	0.4338	0.5956	0.7545	0.6923
gene38	0.4439	0.6158	0.1672	0.6488	0.2478	0.5157	0.5663	0.7216	0.3312	0.9906
gene39	0.3186	0.1715	0.7920	0.0520	0.7919	0.8616	0.1064	0.1739	0.0148	0.2856
gene40	0.0074	0.7620	0.8799	0.7954	0.2657	0.6234	0.0527	0.7371	0.3376	0.6818
gene41	0.3220	0.2137	0.6627	0.0012	0.7517	0.7372	0.5546	0.9961	0.3818	0.8516
gene42	0.9564	0.1842	0.2770	0.1815	0.9357	0.6793	0.3439	0.4808	0.4943	0.3781
gene43	0.4334	0.8977	0.3164	0.7098	0.7983	0.9701	0.5319	0.4010	0.8407	0.1663
gene44	0.4743	0.1680	0.2136	0.4453	0.4895	0.9728	0.6463	0.9624	0.7722	0.9049
gene45	0.0247	0.9317	0.2404	0.1613	0.9613	0.4638	0.0814	0.8622	0.0263	0.8900
gene46	0.8060	0.3865	0.6568	0.3420	0.2176	0.8485	0.0861	0.9027	0.6667	0.1764
gene47	0.6115	0.9941	0.3334	0.4481	0.5033	0.0550	0.5521	0.4473	0.1850	0.1154
gene48	0.1355	0.9494	0.5479	0.0900	0.8265	0.4760	0.9089	0.1950	0.4351	0.6883
gene49	0.8828	0.4657	0.0817	0.6807	0.0911	0.0562	0.9878	0.2338	0.8123	0.1417
gene50	0.7880	0.5372	0.2356	0.4092	0.1634	0.4411	0.4268	0.3141	0.9419	0.2462

